ID,title,year,imdb_rating,imdb_votes,director,tomato_meter
1,X-Men,2000,7.4,580354,Bryan Singer,82
2,Blade II,2002,6.7,203813,Guillermo del Toro,57
3,Spider-Man,2002,7.3,702986,Sam Raimi,90
4,Daredevil,2003,5.3,208847,Mark Steven Johnson,44
5,X2: X-Men United,2003,7.4,519747,Bryan Singer,85
6,Hulk,2003,5.6,255002,Ang Lee,62
7,The Punisher,2004,6.4,151872,Jonathan Hensleigh,28
8,Spider-Man 2,2004,7.3,556980,Sam Raimi,93
9,Blade: Trinity,2004,5.8,168363,David S. Goyer,25
10,Elektra,2005,4.7,88518,Rob Bowman,11
11,Fantastic Four,2005,5.7,315297,Tim Story,27
12,X-Men: The Last Stand,2006,6.7,490269,Brett Ratner,57
13,Ghost Rider,2007,5.3,226797,Mark Steven Johnson,26
14,Spider-Man 3,2007,6.2,510723,Sam Raimi,63
15,Fantastic Four: Rise of the Silver Surfer,2007,5.6,253897,Tim Story,37
16,Iron Man,2008,7.9,964114,Jon Favreau,94
17,The Incredible Hulk,2008,6.7,445822,Louis Leterrier,67
18,Punisher: War Zone,2008,5.9,60767,Lexi Alexander,29
19,X-Men Origins: Wolverine,2009,6.6,475561,Gavin Hood,37
20,Iron Man 2,2010,7,742416,Jon Favreau,72
